Month,Day,Year,Open,High,Low,Close,Adj Close,Volume
5,2,2022,1863.660034,1952.75,1821.099976,1839.560059,1839.560059,25076170000
5,9,2022,1833.47998,1833.47998,1701.150024,1792.670044,1792.670044,29126270000
5,16,2022,1790.609985,1840.300049,1730.880005,1773.27002,1773.27002,24603940000
5,23,2022,1786.430054,1887.900024,1736.109985,1887.900024,1887.900024,23231370000
5,30,2022,1882,1897.670044,1830.199951,1883.050049,1883.050049,19471340000
6,6,2022,1893.449951,1919.72998,1792.599976,1800.280029,1800.280029,21764190000
6,13,2022,1770.5,1770.5,1641.469971,1665.689941,1665.689941,30486930000
6,20,2022,1681.099976,1765.73999,1665.540039,1765.73999,1765.73999,23570150000
6,27,2022,1772.890015,1792.579956,1680.400024,1727.76001,1727.76001,21693690000
7,4,2022,1714.859985,1780.130005,1681.579956,1769.359985,1769.359985,17073700000
7,11,2022,1765.599976,1765.599976,1684.849976,1744.369995,1744.369995,19693570000
7,18,2022,1758.900024,1842.199951,1734.219971,1806.880005,1806.880005,20385270000
7,25,2022,1810.949951,1888.219971,1798.819946,1885.22998,1885.22998,20488830000
8,1,2022,1870.48999,1922.550049,1859.880005,1921.819946,1921.819946,21651540000
8,8,2022,1928.410034,2016.619995,1904.969971,2016.619995,2016.619995,21098400000
8,15,2022,2007.410034,2030.050049,1952.5,1957.349976,1957.349976,19013350000
8,22,2022,1931.709961,1965.310059,1898.51001,1899.829956,1899.829956,18714200000
8,29,2022,1880.630005,1898.670044,1799.170044,1809.75,1809.75,19592960000
9,5,2022,1813.180054,1884.900024,1786.680054,1882.849976,1882.849976,15886450000
9,12,2022,1889.800049,1906.089966,1778.77002,1798.189941,1798.189941,24728470000
9,19,2022,1785.719971,1813.939941,1658.660034,1679.589966,1679.589966,21332100000
9,26,2022,1674.339966,1725.280029,1650.709961,1664.719971,1664.719971,24475900000
10,3,2022,1687.280029,1775.77002,1671.619995,1702.150024,1702.150024,22948200000
10,10,2022,1706.160034,1747.839966,1641.939941,1682.400024,1682.400024,21864890000
10,17,2022,1701.160034,1782.069946,1699.97998,1742.23999,1742.23999,22634960000
10,24,2022,1747.680054,1848.25,1727.199951,1846.920044,1846.920044,23555090000
10,31,2022,1839.170044,1868.75,1758.050049,1799.869995,1799.869995,24226300000
11,7,2022,1808.079956,1899.959961,1757.449951,1882.73999,1882.73999,24968840000
11,14,2022,1875.650024,1905.839966,1820.709961,1849.72998,1849.72998,21831700000
11,21,2022,1842.959961,1873.589966,1828.98999,1869.189941,1869.189941,12724860000
11,28,2022,1857.180054,1898.449951,1821.469971,1892.839966,1892.839966,22280580000
12,5,2022,1886.01001,1886.01001,1796.660034,1796.660034,1796.660034,20662410000
12,12,2022,1798.790039,1880.76001,1746.25,1763.420044,1763.420044,25443390000
12,19,2022,1763.939941,1784.109985,1726.810059,1760.930054,1760.930054,18506410000
12,26,2022,1761.380005,1767.910034,1722.02002,1761.25,1761.25,12097370000
1,2,2023,1769.75,1795.560059,1737.26001,1792.800049,1792.800049,16190230000
1,9,2023,1801.069946,1889.150024,1793.189941,1887.030029,1887.030029,20846120000
1,16,2023,1886.640015,1903.869995,1825.579956,1867.339966,1867.339966,16539130000
1,23,2023,1868.959961,1918.589966,1858.98999,1911.459961,1911.459961,18707010000
1,30,2023,1903.099976,2007.310059,1885.430054,1985.530029,1985.530029,23657120000
2,6,2023,1976.089966,1976.089966,1903.719971,1918.810059,1918.810059,20661640000
2,13,2023,1919.890015,1962.459961,1913.599976,1946.359985,1946.359985,19642940000
2,20,2023,1937.050049,1937.050049,1875.810059,1890.48999,1890.48999,16031550000
2,27,2023,1902,1931.719971,1877.579956,1928.26001,1928.26001,21459460000
3,6,2023,1928.079956,1928.699951,1756.819946,1772.699951,1772.699951,21422390000
3,13,2023,1755.040039,1802.119995,1716.670044,1725.890015,1725.890015,33867970000
3,20,2023,1733.51001,1788.369995,1695.22998,1734.920044,1734.920044,24375960000
3,27,2023,1747.930054,1802.699951,1742.060059,1802.47998,1802.47998,20849370000
4,3,2023,1804.02002,1812.369995,1742.780029,1754.459961,1754.459961,15917210000
4,10,2023,1749.310059,1805.02002,1745.459961,1781.150024,1781.150024,17894880000
4,17,2023,1784.380005,1809.589966,1777.400024,1791.51001,1791.51001,18104210000
4,24,2023,1790.25,1797.609985,1725.819946,1768.98999,1768.98999,18944960000
5,1,2023,1765.449951,1785.199951,1704.819946,1759.880005,1759.880005,21160370000
5,8,2023,1766.420044,1772.930054,1731.339966,1740.849976,1740.849976,18795580000
5,15,2023,1744.660034,1800.52002,1736.160034,1773.719971,1773.719971,19277850000
5,22,2023,1777.640015,1816.400024,1741.23999,1773.02002,1773.02002,19486250000
5,29,2023,1776.609985,1831.709961,1736.819946,1830.910034,1830.910034,19055240000
6,5,2023,1825.77002,1893.560059,1797.27002,1865.709961,1865.709961,19960900000
6,12,2023,1866.77002,1906.829956,1863.099976,1875.469971,1875.469971,23498470000
6,19,2023,1871.48999,1873.959961,1818.810059,1821.630005,1821.630005,17329740000
6,26,2023,1821.339966,1898.400024,1819.800049,1888.72998,1888.72998,18347970000
7,3,2023,1887.030029,1898.599976,1823.910034,1864.660034,1864.660034,12829400000
7,10,2023,1862.209961,1952.540039,1860.420044,1931.089966,1931.089966,18461090000
7,17,2023,1929.420044,1990.25,1926.640015,1960.26001,1960.26001,19075880000
7,24,2023,1961.040039,1994.819946,1949.089966,1981.540039,1981.540039,16380760000
7,31,2023,1984.800049,2003.619995,1948.699951,1957.459961,1957.459961,21109110000
8,7,2023,1959.119995,1961.48999,1914.099976,1925.109985,1925.109985,19439590000
8,14,2023,1919.949951,1920.900024,1830.839966,1859.420044,1859.420044,19366670000
8,21,2023,1860.130005,1873.47998,1831.949951,1853.630005,1853.630005,18106530000
8,28,2023,1859.329956,1926.810059,1859.329956,1920.829956,1920.829956,16568780000
9,4,2023,1916.280029,1916.280029,1848.589966,1851.540039,1851.540039,13968150000
